source,target,weight
deductions,state,12
burden,tax,12
could,reached,12
7,nov,12
congressional,investigators,12
committees,intelligence,12
lawyer,russian,12
six,weeks,12
also,included,12
court,u,12
security,social,12
travel,trump,12
iran,libya,12
could,end,12
coming,days,12
trump,well,12
mcconnell,told,12
democratic,without,12
office,oval,12
city,reuters,12
document,said,12
alabama,state,12
intelligence,panel,12
capital,israel,12
forward,looks,12
foundation,heritage,12
friday,midnight,12
extend,would,12
critics,said,12
clinton,said,12
20,jan,12
legislation,passed,12
massive,tax,12
america,make,12
discrimination,harassment,12
member,staff,12
meddling,trump,12
new,rules,12
forward,look,12
lee,mike,12
released,thursday,12
defense,national,12
corporations,taxes,12
21,rate,12
stop,would,12
alaska,arctic,12
eliminate,would,12
intelligence,officials,12
democratic,representatives,12
25,years,12
immigration,u,12
chief,u,12
chris,governor,12
harvey,weinstein,12
could,move,12
bills,spending,12
details,provide,12
ago,months,12
alabama,race,12
northam,ralph,12
2018,elections,12
including,states,12
four,years,12
environmental,groups,12
needed,votes,12
industry,refining,12
past,said,12
lower,would,12
political,science,12
families,working,12
equity,private,12
portion,refundable,12
highs,record,12
among,things,12
russian,ties,12
gillibrand,kirsten,12
could,vote,12
senate,week,12
mike,senator,12
approve,congress,12
long,time,12
m,sure,12
allegations,said,12
1986,since,12
brain,cancer,12
bill,support,12
chairman,u,12
win,would,12
territory,u,12
u,year,12
facebook,google,12
administrator,epa,12
election,federal,12
party,trump,12
saturday,trump,12
time,waste,12
flynn,pleaded,12
communications,federal,12
months,several,12
amy,judge,12
amy,berman,12
berman,jackson,12
hope,republicans,12
brady,told,12
reuters,thursday,12
sought,trump,12
bill,proposed,12
hatch,said,12
members,u,12
sources,three,12
clearing,way,12
23,percent,12
11,million,12
communications,director,12
administration,president,12
businesses,taxes,12
deal,good,12
sales,taxes,12
richard,senator,12
concluded,russia,12
denied,moscow,12
chairman,panel,12
amy,klobuchar,12
administration,republican,12
late,tuesday,12
two,war,12
leaders,two,12
football,league,12
back,going,12
house,member,12
media,u,12
moderate,republican,12
reporters,washington,12
ben,senator,12
mcmaster,r,12
ballistic,iran,12
bipartisan,reuters,12
able,would,12
former,obama,12
member,senate,12
gag,order,12
flynn,general,12
relations,russia,12
discussed,u,12
fed,york,12
mexico,u,12
presidential,republican,12
2016,august,12
pelosi,schumer,12
george,h,12
h,w,12
circle,inner,12
senior,trump,12
2016,influence,12
documents,related,12
contacts,russian,12
saying,statement,12
republican,told,12
politics,u,12
information,provide,12
bob,chairman,12
moore,step,12
adviser,pleaded,12
policy,trump,12
told,washington,12
days,later,12
dowd,said,12
healthy,people,12
britain,france,12
cfpb,created,12
companies,including,12
send,would,12
thursday,unveiled,12
natural,resources,12
allegations,true,12
pact,trade,12
mccain,said,12
2,nl,12
business,small,12
japan,south,12
companies,media,12
trump,xi,12
china,united,12
arrived,trump,12
deficit,trade,12
firm,research,12
health,plans,12
comments,trump,12
powell,taylor,12
board,oversight,12
caucus,freedom,11
medicaid,medicare,11
country,illegally,11
arrivals,daca,11
44,billion,11
appeals,federal,11
court,order,11
said,said,11
dollars,year,11
repeatedly,trump,11
28,percent,11
beach,palm,11
affairs,director,11
government,shut,11
democrats,oppose,11
office,trump,11
department,special,11
justin,trudeau,11
election,senate,11
alabama,seat,11
released,statement,11
said,ve,11
new,reuters,11
due,process,11
since,victory,11
internal,revenue,11
incumbent,republican,11
still,trump,11
meeting,russian,11
could,provide,11
immediately,reached,11
new,trump,11
could,reuters,11
part,u,11
trump,twitter,11
days,trump,11
place,take,11
effect,go,11
4,th,11
leaders,party,11
office,year,11
president,since,11
says,trump,11
elections,year,11
coverage,health,11
caps,spending,11
act,surveillance,11
democrats,want,11
house,legislation,11
back,come,11
blake,farenthold,11
false,statements,11
discrimination,retaliation,11
house,lawmakers,11
case,said,11
washington,week,11
said,support,11
investigating,whether,11
election,russia,11
clinton,emails,11
attorneys,democratic,11
1,billion,11
thursday,washington,11
congress,republican,11
republican-controlled,u,11
deduction,percent,11
main,street,11
opposition,united,11
schumer,told,11
bill,voted,11
approved,tax,11
back,bring,11
could,plan,11
house,legislative,11
deal,reached,11
ties,trump,11
private,use,11
law,professor,11
plans,said,11
campaign,senate,11
increase,tax,11
although,said,11
alaska,murkowski,11
drilling,gas,11
murkowski,said,11
every,year,11
100,percent,11
capital,gains,11
32,percent,11
expensing,full,11
deduction,owners,11
house,wednesday,11
percent,would,11
candidate,donald,11
reuters,reviewed,11
mueller,part,11
bob,goodlatte,11
gowdy,trey,11
steve,strategist,11
legislation,overhaul,11
also,expected,11
continue,work,11
forward,path,11
2,republican,11
representatives,said,11
federal,trillion,11
provision,would,11
52-48,republicans,11
final,legislation,11
security,strategy,11
mainland,u,11
puerto,rican,11
capitol,u,11
consumer,director,11
bureau,cfpb,11
america,trump,11
moscow,trump,11
place,taking,11
vote,week,11
commission,election,11
seen,ve,11
representatives,republicans,11
create,would,11
healthcare,overhaul,11
slash,would,11
abc,week,11
news,sunday,11
government,reform,11
act,congress,11
resign,trump,11
also,told,11
ethics,investigation,11
also,may,11
electric,vehicle,11
current,law,11
association,said,11
official,senior,11
commission,communications,11
neutrality,rules,11
internet,service,11
providers,service,11
harassment,misconduct,11
bill,senator,11
cummings,elijah,11
politico,said,11
alabama,election,11
obamacare,repealing,11
majority,simple,11
conflicts,interest,11
people,would,11
current,percent,11
chairman,orrin,11
decision,final,11
taxes,would,11
lot,people,11
70,denied,11
including,trump,11
republican,voters,11
former,secretary,11
bill,unveiled,11
devin,nunes,11
mike,representative,11
football,national,11
republicans,wednesday,11
directed,trump,11
tuesday,u,11
certify,iran,11
hundreds,thousands,11
monday,u,11
restrictions,travel,11
leaders,said,11
8,nov,11
money,much,11
accusations,said,11
board,fed,11
questions,raised,11
chief,fed,11
fed,job,11
raj,shah,11
manafort,work,11
federal,grand,11
committee,congressional,11
hours,later,11
250,billion,11
14,percent,11
aide,house,11
leave,would,11
elected,first,11
released,wednesday,11
action,take,11
could,longer,11
deputy,secretary,11
duke,elaine,11
lockheed,martin,11
charges,criminal,11
house,voted,11
members,republican,11
central,intelligence,11
foreign,house,11
2010,dodd-frank,11
president,united,11
u,uranium,11
trump,warned,11
considering,trump,11
campaign,promises,11
failing,states,11
citing,reported,11
ago,decades,11
companies,technology,11
reduce,would,11
community,international,11
legislative,win,11
member,senior,11
adviser,former,11
longtime,republican,11
vote,yes,11
bush,said,11
efforts,repeal,11
rise,would,11
aides,top,11
effort,republican,11
balloon,would,11
plan,republicans,11
gates,pleaded,11
opposition,research,11
representative,tom,11
businesses,non-corporate,11
planned,said,11
forces,security,11
repeatedly,russia,11
facebook,said,11
countries,three,11
according,said,11
north,tensions,11
entities,foreign,11
china,u,11
china,trade,11
3,nov,11
chris,christie,11
ed,gillespie,11
insurance,obamacare,11
2001,sept,11
france,germany,11
